"Date (TU)","Valeur (en m³/s)","Statut","Qualification","Méthode","Continuité"
2022-01-31T00:00:00.000Z,"298","16",20,10,0
2022-02-01T00:00:00.000Z,"294","16",20,10,0
2022-02-02T00:00:00.000Z,"289","16",20,10,0
2022-02-03T00:00:00.000Z,"284","16",20,10,0
2022-02-04T00:00:00.000Z,"290","16",20,10,0
2022-02-05T00:00:00.000Z,"289","16",20,10,0
2022-02-06T00:00:00.000Z,"294","16",20,10,0
2022-02-07T00:00:00.000Z,"327","16",20,10,0
2022-02-08T00:00:00.000Z,"340","16",20,10,0
2022-02-09T00:00:00.000Z,"339","16",20,10,0
2022-02-10T00:00:00.000Z,"345","16",20,10,0
2022-02-11T00:00:00.000Z,"346","16",20,10,0
2022-02-12T00:00:00.000Z,"339","16",20,10,0
2022-02-13T00:00:00.000Z,"332","16",20,10,0
2022-02-14T00:00:00.000Z,"330","16",20,10,0
2022-02-15T00:00:00.000Z,"321","16",20,10,0
2022-02-16T00:00:00.000Z,"328","16",20,10,0
2022-02-17T00:00:00.000Z,"368","16",20,10,0
2022-02-18T00:00:00.000Z,"414","16",20,10,0
2022-02-19T00:00:00.000Z,"401","16",20,10,0
2022-02-20T00:00:00.000Z,"387","16",20,10,0
2022-02-21T00:00:00.000Z,"388","16",20,10,0
2022-02-22T00:00:00.000Z,"381","16",20,10,0
2022-02-23T00:00:00.000Z,"375","16",20,10,0
2022-02-24T00:00:00.000Z,"367","16",20,10,0
2022-02-25T00:00:00.000Z,"367","16",20,10,0
2022-02-26T00:00:00.000Z,"365","16",20,10,0
2022-02-27T00:00:00.000Z,"344","16",20,10,0
2022-02-28T00:00:00.000Z,"339","16",20,10,0
2022-03-01T00:00:00.000Z,"321","16",20,10,0
2022-03-02T00:00:00.000Z,"310","16",20,10,0
2022-03-03T00:00:00.000Z,"310","16",20,10,0
2022-03-04T00:00:00.000Z,"310","16",20,10,0
2022-03-05T00:00:00.000Z,"302","16",20,10,0
2022-03-06T00:00:00.000Z,"299","16",20,10,0
2022-03-07T00:00:00.000Z,"289","16",20,10,0
2022-03-08T00:00:00.000Z,"267","16",20,10,0
2022-03-09T00:00:00.000Z,"260","16",20,10,0
2022-03-10T00:00:00.000Z,"246","16",20,10,0
2022-03-11T00:00:00.000Z,"255","16",20,10,0
2022-03-12T00:00:00.000Z,"241","16",20,10,0
2022-03-13T00:00:00.000Z,"241","16",20,10,0
2022-03-14T00:00:00.000Z,"232","16",20,10,0
2022-03-15T00:00:00.000Z,"240","16",20,10,0
2022-03-16T00:00:00.000Z,"251","16",20,10,0
2022-03-17T00:00:00.000Z,"253","16",20,10,0
2022-03-18T00:00:00.000Z,"243","16",20,10,0
2022-03-19T00:00:00.000Z,"220","16",20,10,0
2022-03-20T00:00:00.000Z,"222","16",20,10,0
2022-03-21T00:00:00.000Z,"215","16",20,10,0
2022-03-22T00:00:00.000Z,"210","16",20,10,0
2022-03-23T00:00:00.000Z,"204","16",20,10,0
2022-03-24T00:00:00.000Z,"205","16",20,10,0
2022-03-25T00:00:00.000Z,"194","16",20,10,0
2022-03-26T00:00:00.000Z,"194","16",20,10,0
2022-03-27T00:00:00.000Z,"185","16",20,10,0
2022-03-28T00:00:00.000Z,"176","16",20,10,0
2022-03-29T00:00:00.000Z,"186","16",20,10,0
2022-03-30T00:00:00.000Z,"195","16",20,10,0
2022-03-31T00:00:00.000Z,"207","16",20,10,0
2022-04-01T00:00:00.000Z,"198","16",20,10,0
2022-04-02T00:00:00.000Z,"198","16",20,10,0
2022-04-03T00:00:00.000Z,"186","16",20,10,0
2022-04-04T00:00:00.000Z,"181","16",20,10,0
2022-04-05T00:00:00.000Z,"169","16",20,10,0
2022-04-06T00:00:00.000Z,"171","16",20,10,0
2022-04-07T00:00:00.000Z,"186","16",20,10,0
2022-04-08T00:00:00.000Z,"290","16",20,10,0
2022-04-09T00:00:00.000Z,"397","16",20,10,0
2022-04-10T00:00:00.000Z,"444","16",20,10,0
2022-04-11T00:00:00.000Z,"416","16",20,10,0
2022-04-12T00:00:00.000Z,"429","16",20,10,0
2022-04-13T00:00:00.000Z,"401","16",20,10,0
2022-04-14T00:00:00.000Z,"363","16",20,10,0
2022-04-15T00:00:00.000Z,"330","16",20,10,0
2022-04-16T00:00:00.000Z,"294","16",20,10,0
2022-04-17T00:00:00.000Z,"292","16",20,10,0
2022-04-18T00:00:00.000Z,"260","16",20,10,0
2022-04-19T00:00:00.000Z,"258","16",20,10,0
2022-04-20T00:00:00.000Z,"244","16",20,10,0
2022-04-21T00:00:00.000Z,"226","16",20,10,0
2022-04-22T00:00:00.000Z,"216","16",20,10,0
2022-04-23T00:00:00.000Z,"220","16",20,10,0
2022-04-24T00:00:00.000Z,"213","16",20,10,0
2022-04-25T00:00:00.000Z,"206","16",20,10,0
2022-04-26T00:00:00.000Z,"189","16",20,10,0
2022-04-27T00:00:00.000Z,"192","16",20,10,0
2022-04-28T00:00:00.000Z,"196","16",20,10,0
2022-04-29T00:00:00.000Z,"187","16",20,10,0
2022-04-30T00:00:00.000Z,"179","16",20,10,0
2022-05-01T00:00:00.000Z,"173","16",20,10,0
2022-05-02T00:00:00.000Z,"180","16",20,10,0
2022-05-03T00:00:00.000Z,"174","16",20,10,0
2022-05-04T00:00:00.000Z,"169","16",20,10,0
2022-05-05T00:00:00.000Z,"169","16",20,10,0
