site,date,variable,value
river,2022-10-12,temperature,13.2
river,2022-10-13,temperature,12.87142857142857
river,2022-10-14,temperature,12.542857142857143
river,2022-10-15,temperature,12.214285714285714
river,2022-10-16,temperature,11.885714285714286
river,2022-10-17,temperature,11.557142857142857
river,2022-10-18,temperature,11.22857142857143
river,2022-10-19,temperature,10.9
river,2022-10-20,temperature,10.442857142857143
river,2022-10-21,temperature,9.985714285714286
river,2022-10-22,temperature,9.528571428571428
river,2022-10-23,temperature,9.071428571428571
river,2022-10-24,temperature,8.614285714285714
river,2022-10-25,temperature,8.157142857142858
river,2022-10-26,temperature,7.7
river,2022-10-27,temperature,8.114285714285714
river,2022-10-28,temperature,8.528571428571428
river,2022-10-29,temperature,8.942857142857143
river,2022-10-30,temperature,9.357142857142858
river,2022-10-31,temperature,9.771428571428572
river,2022-11-01,temperature,10.185714285714285
river,2022-11-02,temperature,10.6
river,2022-11-03,temperature,10.342857142857143
river,2022-11-04,temperature,10.085714285714285
river,2022-11-05,temperature,9.82857142857143
river,2022-11-06,temperature,9.571428571428571
river,2022-11-07,temperature,9.314285714285715
river,2022-11-08,temperature,9.057142857142857
river,2022-11-09,temperature,8.8
river,2022-11-10,temperature,8.442857142857143
river,2022-11-11,temperature,8.085714285714285
river,2022-11-12,temperature,7.728571428571429
river,2022-11-13,temperature,7.371428571428572
river,2022-11-14,temperature,7.014285714285714
river,2022-11-15,temperature,6.657142857142857
river,2022-11-16,temperature,6.3
river,2022-11-17,temperature,6.357142857142857
river,2022-11-18,temperature,6.414285714285715
river,2022-11-19,temperature,6.4714285714285715
river,2022-11-20,temperature,6.5285714285714285
river,2022-11-21,temperature,6.585714285714285
river,2022-11-22,temperature,6.642857142857143
river,2022-11-23,temperature,6.7
river,2022-11-24,temperature,5.928571428571429
river,2022-11-25,temperature,5.1571428571428575
river,2022-11-26,temperature,4.385714285714286
river,2022-11-27,temperature,3.6142857142857143
river,2022-11-28,temperature,2.842857142857143
river,2022-11-29,temperature,2.071428571428571
river,2022-11-30,temperature,1.3
river,2022-12-01,temperature,1.342857142857143
river,2022-12-02,temperature,1.3857142857142857
river,2022-12-03,temperature,1.4285714285714286
river,2022-12-04,temperature,1.4714285714285715
river,2022-12-05,temperature,1.5142857142857145
river,2022-12-06,temperature,1.5571428571428572
river,2022-12-07,temperature,1.6
river,2022-12-08,temperature,1.8142857142857143
river,2022-12-09,temperature,2.0285714285714285
river,2022-12-10,temperature,2.242857142857143
river,2022-12-11,temperature,2.4571428571428573
river,2022-12-12,temperature,2.6714285714285717
river,2022-12-13,temperature,2.8857142857142857
river,2022-12-14,temperature,3.1
river,2022-12-15,temperature,2.6714285714285717
river,2022-12-16,temperature,2.242857142857143
river,2022-12-17,temperature,1.8142857142857145
river,2022-12-18,temperature,1.385714285714286
river,2022-12-19,temperature,0.9571428571428573
river,2022-12-20,temperature,0.5285714285714289
river,2022-12-21,temperature,0.1
river,2022-12-22,temperature,0.37142857142857144
river,2022-12-23,temperature,0.6428571428571428
river,2022-12-24,temperature,0.9142857142857143
river,2022-12-25,temperature,1.1857142857142857
river,2022-12-26,temperature,1.457142857142857
river,2022-12-27,temperature,1.7285714285714286
river,2022-12-28,temperature,2.0
river,2022-12-29,temperature,2.2714285714285714
river,2022-12-30,temperature,2.5428571428571427
river,2022-12-31,temperature,2.814285714285714
river,2023-01-01,temperature,3.0857142857142854
river,2023-01-02,temperature,3.357142857142857
river,2023-01-03,temperature,3.6285714285714286
river,2023-01-04,temperature,3.9
